# Starfield material bridge generated from local materialsbeta.cdb
# material	diffuse	confidence	method	texture-set
materials/architecture/city/newatlantis/natrimtech04_metal01.mat	textures/common/trim/trimtech04_color.dds	0.9400	semantic-stem	TrimTech04_TextureSet1
materials/architecture/city/newatlantis/signage/na_signage_resblddecals01.mat	textures/architecture/city/newatlantis/signage/na_signage_resblddecals01_color.dds	0.9900	exact-stem	NA_Signage_ResBldDecals01_TextureSet1
materials/architecture/city/newatlantis/signage/na_signage_spaceportinn_muralext01.mat	textures/architecture/city/newatlantis/signage/nasignagespaceportinnmuralint01_color.dds	1.0000	authored-alias	materialsbeta.cdb authored alias
materials/architecture/city/newatlantis/signage/na_signage_spaceportinn_muralext01b.mat	textures/architecture/city/newatlantis/signage/nasignagespaceportinnmuralint01b_color.dds	1.0000	authored-alias	materialsbeta.cdb authored alias
materials/architecture/city/newatlantis/signage/na_signage_spaceportinn_muralext02.mat	textures/architecture/city/newatlantis/signage/nasignagespaceportinnmuralext02_color.dds	1.0000	authored-alias	materialsbeta.cdb authored alias
materials/architecture/city/newatlantis/signage/na_signage_viewport_02.mat	textures/architecture/city/newatlantis/signage/na_signage_viewport_02_color.dds	1.0000	compiled-material-path	Data\Materials\Architecture\City\NewAtlantis\Signage\NA_Signage_Viewport_02.mat_TextureSet1
materials/architecture/generic/shafts/screenpanelpattern02.mat	textures/architecture/city/newatlantis/nascreenpattern01_color.dds	0.9900	exact-stem	ScreenPanelPattern02_TextureSet1
materials/architecture/industrialkit/interiors/indintmetaltilegrey01.mat	textures/common/metal/metaldullgeneric02_color.dds	0.8805	fuzzy-stem	IndIntMetalTileRed01_TextureSet1
materials/architecture/outpost/outpostindustrial/exterior/opiextlandingpaddeck02.mat	textures/architecture/outpost/outpostindustrial/opiextlandingpaddeck01_color.dds	0.9068	fuzzy-stem	OpiExtLandingPadDeck01_TextureSet1
materials/architecture/sciencekit/sciencepanelplain01_panel01.mat	textures/common/metal/metalgalvanized01_color.dds	0.9135	fuzzy-stem	SciencePanelPlain01_Panel05_TextureSet1
materials/architecture/sciencekit/sciencepanelplain01_panel01v2.mat	textures/common/metal/metalgalvanized01_color.dds	0.8796	fuzzy-stem	SciencePanelPlain01_Panel05_TextureSet1
materials/architecture/sciencekit/sciencepanelplain01_panel01v3.mat	textures/common/metal/metalgalvanized01_color.dds	0.8796	fuzzy-stem	SciencePanelPlain01_Panel05_TextureSet1
materials/architecture/sciencekit/sciencepanelplain01_panel02.mat	textures/common/metal/metalgalvanized01_color.dds	0.9135	fuzzy-stem	SciencePanelPlain01_Panel05_TextureSet1
materials/architecture/sciencekit/sciencepanelplain01_panel03.mat	textures/common/metal/metalgalvanized01_color.dds	0.9135	fuzzy-stem	SciencePanelPlain01_Panel05_TextureSet1
materials/architecture/sciencekit/sciencepanelplain01_panel05.mat	textures/common/metal/metalgalvanized01_color.dds	0.9900	exact-stem	SciencePanelPlain01_Panel05_TextureSet1
materials/architecture/sciencekit/sciencepanelplain01_panel06.mat	textures/common/metal/metalgalvanized01_color.dds	0.9135	fuzzy-stem	SciencePanelPlain01_Panel05_TextureSet1
materials/architecture/sciencekit/sciencepanelplain01_panel07.mat	textures/common/metal/metalgalvanized01_color.dds	0.9135	fuzzy-stem	SciencePanelPlain01_Panel05_TextureSet1
materials/architecture/spaceport/spaceporttrim01.mat	textures/architecture/spaceport/spaceporttrim01_color.dds	0.9900	exact-stem	SpaceportTrim01_TextureSet1
materials/architecture/spaceport/sptarmacbase01.mat	textures/common/metal/metalroofext02_color.dds	0.9900	exact-stem	SPTarmacBase01_TextureSet1
materials/architecture/spacestationkit/stnfloorpanelsdecal01.mat	textures/architecture/spacestationkit/stnfloorpanels01_color.dds	0.9900	exact-stem	StnFloorPanelsDecal01_TextureSet1
materials/architecture/terrabrew/tbfloordecal01.mat	textures/architecture/terrabrew/tbfloordecal01_color.dds	0.9900	exact-stem	TBFloorDecal01_TextureSet1
materials/architecture/terrabrew/tbscreens01.mat	textures/architecture/terrabrew/tbscreens01_color.dds	0.9900	exact-stem	TBScreens01_TextureSet1
materials/architecture/terrabrew/tbtextilefabricwoven01.mat	textures/common/textile/textilewoven01_color.dds	0.9400	semantic-stem	TBTextileFabricWoven01_Black_TextureSet1
materials/common/ceramic/ceramicgrooved01.mat	textures/common/metal/metalpaintedplain01_color.dds	0.9900	exact-stem	CeramicGrooved01_TextureSet1
materials/common/concrete/concreteplain01.mat	textures/common/concrete/concreteplain01_color.dds	0.9900	exact-stem	ConcretePlain01_TextureSet1
materials/common/concrete/concreteplain02.mat	textures/common/concrete/concreteplain02_color.dds	0.9900	exact-stem	ConcretePlain02_TextureSet1
materials/common/concrete/concreteplain03.mat	textures/common/concrete/concreteplain03_color.dds	0.9900	exact-stem	ConcretePlain03_TextureSet1
materials/common/concrete/concreteplain04.mat	textures/common/concrete/concreteplain04_color.dds	0.9900	exact-stem	ConcretePlain04_TextureSet1
materials/common/concrete/concretespeckled01.mat	textures/common/concrete/concretespeckled01_color.dds	0.9900	exact-stem	ConcreteSpeckled01_TextureSet1
materials/common/decal/decalboltstrims01.mat	textures/common/decal/decalboltstrims01_color.dds	0.9900	exact-stem	DecalBoltsTrims01_TextureSet1
materials/common/decal/decalbuttonsknobs_01.mat	textures/architecture/outpost/outpostsciencekit/interior/buttonsknobs_01_color.dds	0.9900	exact-stem	DecalButtonsKnobs_01_TextureSet1
materials/common/decal/decallabels01.mat	textures/common/decal/decallabels01_color.dds	0.9900	exact-stem	DecalLabels01_TextureSet1
materials/common/decal/decallabelsletters01.mat	textures/common/decal/decallabelsletters01_color.dds	0.9900	exact-stem	DecalLabelsLetters01_TextureSet1
materials/common/decal/decallabelsletters02.mat	textures/common/decal/decallabelsletters02_color.dds	0.9900	exact-stem	DecalLabelsLetters02_TextureSet1
materials/common/decal/decallabelsletters03.mat	textures/common/decal/decallabelsletters03_color.dds	0.9900	exact-stem	DecalLabelsLetters03_TextureSet1
materials/common/decal/decalmetalbevels02.mat	textures/common/decal/decalmetalbevels02_color.dds	0.9900	exact-stem	DecalMetalBevels02_TextureSet1
materials/common/decal/decalmetalbevels04.mat	textures/common/decal/decalmetalbevels04_color.dds	0.9900	exact-stem	DecalMetalBevels04_TextureSet2
materials/common/decal/decalmetalboltstrimsdetails01.mat	textures/common/decal/decalmetalboltstrimsdetails01_color.dds	0.9900	exact-stem	DecalMetalBoltsTrimsDetails01_TextureSet1
materials/common/decal/decalmetalboltstrimsdetails01n.mat	textures/common/decal/decalmetalboltstrimsdetails01_color.dds	0.9339	fuzzy-stem	DecalMetalBoltsTrimsDetails01_TextureSet1
materials/common/decal/decalmetalboltstrimsdetails02n.mat	textures/common/decal/decalmetalboltstrimsdetails02_color.dds	0.9339	fuzzy-stem	DecalMetalBoltsTrimsDetails02_TextureSet1
materials/common/landscape/bark/barkgnarled01.mat	textures/common/landscape/bark/barkgnarled01_color.dds	0.9900	exact-stem	BarkGnarled01_TextureSet1
materials/common/metal/metalaluminum01.mat	textures/common/metal/metalalu_color.dds	0.9900	exact-stem	MetalAluminum01_TextureSet1
materials/common/metal/metalaluminum02.mat	textures/common/metal/metaldullgeneric02_color.dds	0.9900	exact-stem	MetalAluminum02_TextureSet1
materials/common/metal/metalaluminum03.mat	textures/setdressing/makeshift/memorialwall/reddevils_color.dds	0.9900	exact-stem	MetalAluminum03_TextureSet2
materials/common/metal/metalaluminumbrushed01.mat	textures/common/metal/metalbrushed01_color.dds	0.9900	exact-stem	MetalAluminumBrushed01_TextureSet1
materials/common/metal/metalaluminumbrushed03.mat	textures/common/metal/metalbrushed01_color.dds	0.9068	fuzzy-stem	MetalAluminumBrushed01_TextureSet1
materials/common/metal/metalaluminumscratched03.mat	textures/common/paint/paintmetalscratched01_color.dds	0.9900	exact-stem	MetalAluminumScratched03_TextureSet2
materials/common/metal/metalaluminumscuffed01.mat	textures/common/metal/metalpainted01_color.dds	0.9900	exact-stem	MetalAluminumScuffed01_TextureSet6
materials/common/metal/metalaluminumworn01.mat	textures/common/metal/metalalu_color.dds	0.9900	exact-stem	MetalAluminumWorn01_TextureSet2
materials/common/metal/metalaluminumworn02.mat	textures/common/metal/metalpainted01_color.dds	0.9900	exact-stem	MetalAluminumWorn02_TextureSet1
materials/common/metal/metalchrome01.mat	textures/common/metal/metaldullscratched01_color.dds	0.9900	exact-stem	MetalChrome01_TextureSet1
materials/common/metal/metalrust02.mat	textures/common/metal/metalrust02_color.dds	0.9900	exact-stem	MetalRust02_TextureSet1
materials/common/metal/metalsteel02.mat	textures/common/metal/metaldullworn01_color.dds	0.8708	fuzzy-stem	MetalSteel03_TextureSet1
materials/common/metal/metalsteel03.mat	textures/common/metal/metaldullworn01_color.dds	0.9900	exact-stem	MetalSteel03_TextureSet1
materials/common/metal/metalsteelbrushed01.mat	textures/common/metal/metalbrushed01_color.dds	0.9900	exact-stem	MetalSteelBrushed01_TextureSet1
materials/common/metal/metalsteelgalvanized01.mat	textures/common/metal/metalgalvanized01_color.dds	0.9900	exact-stem	MetalSteelGalvanized01_TextureSet1
materials/common/plastic/plasticplainsmooth02.mat	textures/common/plastic/plasticfiberglass04_color.dds	0.9400	semantic-stem	NAPlasticPlainSmooth02_Yellow01_TextureSet1
materials/common/textile/textileinsulatedfoil01.mat	textures/common/textile/textileinsulatedfoil01_color.dds	0.9900	exact-stem	TextileInsulatedFoil01_TextureSet1
materials/common/trim/trimmetal03.mat	textures/common/trim/trimmetal03_color.dds	0.9900	exact-stem	TrimMetal03_TextureSet1
materials/common/trim/trimtech01.mat	textures/common/trim/trimtech01_color.dds	0.9900	exact-stem	TrimTech01_TextureSet1
materials/common/trim/trimtech04.mat	textures/common/trim/trimtech04_color.dds	0.9900	exact-stem	TrimTech04_TextureSet1
materials/common/wood/woodexotic03.mat	textures/common/wood/woodexotic03_color.dds	0.9900	exact-stem	WoodExotic03_TextureSet1
materials/common/wood/woodmaple01.mat	textures/common/wood/woodmaple01_color.dds	0.9900	exact-stem	WoodMaple01_TextureSet1
materials/common/wood/woodveneer01.mat	textures/common/wood/woodveneer01_color.dds	0.9900	exact-stem	WoodVeneer01_TextureSet1
materials/common/wood/woodveneer02.mat	textures/common/wood/woodveneer02_color.dds	0.9900	exact-stem	WoodVeneer02_TextureSet1
materials/landscape/ground/dirt/dirtforestpacked01.mat	textures/landscape/ground/dirt/dirtforestpacked01_color.dds	0.9900	exact-stem	DirtForestPacked01_TextureSet1
materials/landscape/plants/plantlilypad01.mat	textures/landscape/plants/plantlilypad01_color.dds	0.9900	exact-stem	PlantLilyPad01_TextureSet1
materials/landscape/plants/plantmossclumpy01_grass.mat	textures/landscape/plants/plantmossclumpy01_grass_color.dds	0.9900	exact-stem	PlantMossClumpy01_Grass_TextureSet1
materials/landscape/plants/shrubs/plantshrubbroadleaf01.mat	textures/landscape/plants/shrubs/plantshrubbroadleaf01_color.dds	0.9900	exact-stem	PlantShrubBroadleaf01_TextureSet1
materials/landscape/plants/shrubs/shrubbromeliadleaves01.mat	textures/landscape/plants/shrubs/shrubbromeliad/_color.dds	0.9900	exact-stem	ShrubBromeliadLeaves01_TextureSet1
materials/landscape/plants/shrubs/shrubdwarflupinbark01.mat	textures/landscape/plants/shrubs/shrubdwarflupin/hickory_2_color.dds	0.9900	exact-stem	ShrubDwarfLupinBark01_TextureSet1
materials/landscape/plants/shrubs/shrubdwarflupinleaves01.mat	textures/landscape/plants/shrubs/shrubdwarflupin/_color.dds	0.9900	exact-stem	ShrubDwarfLupinLeaves01_TextureSet1
materials/landscape/plants/shrubs/shrubfernforest/shrubfernforest01.mat	textures/landscape/plants/shrubs/shrubfern01/shrubfern01_color.dds	0.9900	exact-stem	ShrubFernForest01_TextureSet1
materials/landscape/plants/shrubs/shrubtrumpetfrondleaves01.mat	textures/landscape/plants/shrubs/shrubtrumpetfrond/_color.dds	0.9900	exact-stem	ShrubTrumpetFrondLeaves01_TextureSet1
materials/landscape/plants/shrubs/shrubtrumpetfrondstem01.mat	textures/landscape/plants/shrubs/shrubtrumpetfrond/stem_color.dds	0.9900	exact-stem	ShrubTrumpetFrondStem01_TextureSet1
materials/landscape/plants/shrubs/shrubyuccabark01.mat	textures/landscape/plants/shrubs/shrubyucca/palm_yucca_bark_1_color.dds	0.9900	exact-stem	ShrubYuccaBark01_TextureSet1
materials/landscape/plants/shrubs/shrubyuccaleaves01.mat	textures/landscape/plants/shrubs/shrubyucca/shrubyucca01_color.dds	0.9900	exact-stem	ShrubYuccaLeaves01_TextureSet1
materials/landscape/plants/vines/plantvineivy01.mat	textures/landscape/plants/vines/plantvineivy01_color.dds	0.9900	exact-stem	PlantVineIvy01_TextureSet1
materials/landscape/rocks/sharp/rocksharplarge07.mat	textures/landscape/rocks/sharp/rocksharplarge07_color.dds	0.9900	exact-stem	RockSharpLarge07_TextureSet1
materials/landscape/rocks/sharp/rocksharplarge09.mat	textures/landscape/rocks/sharp/rocksharplarge09_color.dds	0.9900	exact-stem	RockSharpLarge09_TextureSet1
materials/landscape/rocks/sharp/rocksharplarge10.mat	textures/landscape/rocks/sharp/rocksharplarge10_color.dds	0.9900	exact-stem	RockSharpLarge10_TextureSet1
materials/landscape/rocks/sharp/rocksharpmedium06.mat	textures/landscape/rocks/sharp/rocksharpmedium06_color.dds	0.9900	exact-stem	RockSharpMedium06_TextureSet1
materials/landscape/rocks/sharp/rocksharpsmall02.mat	textures/landscape/rocks/sharp/rocksharpsmall02_color.dds	0.9900	exact-stem	RockSharpSmall02_TextureSet1
materials/landscape/trees/treecypress/treecypressbark01.mat	textures/landscape/trees/treecypress/treecypressbark01_color.dds	0.9900	exact-stem	TreeCypressBark01_TextureSet1
materials/landscape/trees/treemesa/treemesacanopytile01.mat	textures/landscape/trees/treemesa/treemesacanopytile01_color.dds	0.9900	exact-stem	TreeMesaCanopyTile01_TextureSet1
materials/landscape/trees/treemesa/treemesaflats01.mat	textures/landscape/trees/treemesa/treemesaflats01_color.dds	0.9900	exact-stem	TreeMesaFlats01_TextureSet1
materials/landscape/trees/treerootsgnarled/treerootsgnarledrootflats01.mat	textures/landscape/trees/treerootsgnarled/rootsflat01_color.dds	0.9900	exact-stem	TreeRootsGnarledRootFlats01_TextureSet1
materials/setdressing/akila/ak_umbrella/ak_umbrella_blue.mat	textures/setdressing/akila_umbrella/shade_umbrella_canvas_color.dds	0.9900	exact-stem	AK_Umbrella_Blue_TextureSet1
materials/setdressing/brooms/brooms_decal01.mat	textures/setdressing/brooms/broom_decal_color.dds	0.9900	exact-stem	Brooms_Decal01_TextureSet1
materials/setdressing/cautionconeandtape/cautionconeandtape_decal.mat	textures/setdressing/cautionconeandtape/cautionconesandtape_decal_color.dds	0.9900	exact-stem	CautionConeAndTape_Decal_TextureSet1
materials/setdressing/cautionconeandtape/cautionconeandtape_details.mat	textures/setdressing/cautionconeandtape/cautionconesandtape_decal_color.dds	1.0000	compiled-material-path	Data\Materials\SetDressing\CautionConeAndTape\CautionConeAndTape_Details.mat_TextureSet1
materials/setdressing/common_materialswaps/paint/paintscuffed02_gray01.mat	textures/common/metal/metalpainted01_color.dds	0.9400	semantic-stem	PaintScuffed02_Blue02_TextureSet1
materials/setdressing/common_materialswaps/textile_swaps/textileleather01_black01.mat	textures/common/metal/metalgalvanized01_color.dds	0.9400	semantic-stem	TextileLeather01_TextureSet2
materials/setdressing/displayscreens/displayscreenoff.mat	textures/common/metal/metalgalvanized01_color.dds	0.9212	fuzzy-stem	DisplayScreenOff2_TextureSet1
materials/setdressing/floormat01/floormat01.mat	textures/setdressing/floormat01/floormat01_color.dds	0.9900	exact-stem	FloorMat01_TextureSet1
materials/setdressing/gencable/gencableset01.mat	textures/setdressing/gencable/gencableset01_color.dds	0.9900	exact-stem	GenCableSet01_TextureSet1
materials/setdressing/harvesters/bronzealloy01.mat	textures/common/metal/metalcopperaged01_color.dds	0.9900	exact-stem	BronzeAlloy01_TextureSet1
materials/setdressing/juicemixer/juicemixer01.mat	textures/setdressing/juicemixer/juicemixer01_color.dds	0.9900	exact-stem	JuiceMixer01_TextureSet1
materials/setdressing/juicemixer/juicemixer01opaque.mat	textures/setdressing/juicemixer/juicemixer01_color.dds	0.9900	exact-stem	JuiceMixer01Opaque_TextureSet2
materials/setdressing/juicemixer/juicemixer02.mat	textures/setdressing/juicemixer/juicemixer02_color.dds	0.9900	exact-stem	JuiceMixer02_TextureSet1
materials/setdressing/kiosk/metalaluminum01_green01.mat	textures/common/metal/metalalu_color.dds	0.9400	semantic-stem	MetalAluminum01_TextureSet1
materials/setdressing/luggybot/luggybotcartdecal01.mat	textures/setdressing/luggybot/luggybot_set_cart_decal01_color.dds	0.9900	exact-stem	LuggyBotCartDecal01_TextureSet1
materials/setdressing/luggybot/luggybotlargecasedecal_color02.mat	textures/setdressing/luggybot/luggybot_set_largecase_decal_color.dds	0.9900	exact-stem	LuggyBotLargeCaseDecal_Color02_TextureSet1
materials/setdressing/luggybot/luggybotlargecasewheeldecal_color01.mat	textures/setdressing/luggybot/luggybot_set_largecase_wheel_color.dds	0.9900	exact-stem	LuggyBotLargeCaseWheelDecal_Color01_TextureSet1
materials/setdressing/luggybot/luggybotsmallcasedecal_color01.mat	textures/setdressing/luggybot/luggybot_set_smallcase_decal_color.dds	0.9900	exact-stem	LuggyBotSmallCaseDecal_Color01_TextureSet2
materials/setdressing/luggybot/luggybotsmallcasedecal_grey01.mat	textures/setdressing/luggybot/luggybot_set_smallcase_decalgrey_color.dds	0.9900	exact-stem	LuggyBotSmallCaseDecal_Grey01_TextureSet2
materials/setdressing/luggybot/plainplasticmatte2layer01_red01.mat	textures/setdressing/luggybot/luggybot_set_largecase_soft plastic_v3_color.dds	0.9900	exact-stem	PlainPlasticMatte2Layer01_Red01_TextureSet2
materials/setdressing/luggybot/plasticplainsmooth02_brown01.mat	textures/common/plastic/plasticfiberglass04_color.dds	0.9400	semantic-stem	NAPlasticPlainSmooth02_Yellow01_TextureSet1
materials/setdressing/luggybot/plasticplainsmooth02_green01.mat	textures/common/plastic/plasticfiberglass04_color.dds	0.9400	semantic-stem	NAPlasticPlainSmooth02_Yellow01_TextureSet1
materials/setdressing/luggybot/plasticplainsmooth02_red01.mat	textures/common/plastic/plasticfiberglass04_color.dds	0.9400	semantic-stem	NAPlasticPlainSmooth02_Yellow01_TextureSet1
materials/setdressing/neon/props/trashbags/trashbag01_base.mat	textures/setdressing/neon/props/trashbags/trashbag01_base_color.dds	0.9900	exact-stem	TrashBag01_Base_TextureSet1
materials/setdressing/neon/props/trashbags/trashbag03_base.mat	textures/setdressing/neon/props/trashbags/trashbag03_base_color.dds	1.0000	compiled-material-path	Data\Materials\SetDressing\Neon\Props\TrashBags\TrashBag03_Base.mat_TextureSet1
materials/setdressing/paper_sheet/paper_sheet01.mat	textures/setdressing/paper_sheet/paper_sheet01_color.dds	0.9900	exact-stem	Paper_Sheet01_TextureSet1
materials/setdressing/plantpots/plantpots_plantcordyline.mat	textures/setdressing/plantpots/plantpot_plantcordyline_color.dds	0.9900	exact-stem	PlantPots_PlantCordyline_TextureSet1
materials/setdressing/plantpots/plantpots_plantpaddle.mat	textures/setdressing/plantpots/plantpaddle04_color.dds	0.9900	exact-stem	PlantPots_PlantPaddle_TextureSet1
materials/setdressing/posters/miningposter07.mat	textures/setdressing/posters/miningposter07_color.dds	0.9900	exact-stem	MiningPoster07_TextureSet3
materials/setdressing/privatelivingquarters/decorativeboxes/decorativebox_decal01.mat	textures/common/metal/metalbarealuminumscuffed01_color.dds	0.9900	exact-stem	Decorativebox_Decal01_TextureSet1
materials/setdressing/privatelivingquarters/decorativeboxes/decorativebox_wooddark01.mat	textures/setdressing/privatelivingquarters/decorativeboxes/decorativebox_wooddark01_color.dds	0.9900	exact-stem	Decorativebox_WoodDark01_TextureSet1
materials/setdressing/privatelivingquarters/decorativeboxes/decorativebox_woodwhite01.mat	textures/setdressing/privatelivingquarters/decorativeboxes/decorativebox_woodwhite01_color.dds	0.9900	exact-stem	Decorativebox_WoodWhite01_TextureSet1
materials/setdressing/signage/advertisements/signageadoishi01.mat	textures/setdressing/signage/advertisements/signageadoishi01_color.dds	1.0000	authored-alias	materialsbeta.cdb authored alias
materials/setdressing/signage/signageflagucdivisions01.mat	textures/setdressing/signage/signageflagucdivisions01_color.dds	0.9900	exact-stem	SignageFlagUCDivisions01_TextureSet3
materials/setdressing/signage/signsbasecolors01.mat	textures/setdressing/signage/signsbasecolors01_color.dds	0.9900	exact-stem	SignsBaseColors01_TextureSet1
materials/setdressing/terminals/mobileterminal_screen01.mat	textures/common/metal/metalgalvanized01_color.dds	0.9900	exact-stem	MobileTerminal_Screen01_TextureSet1
materials/setdressing/utilitycarts/janitorcart01/janitorcart01_bag.mat	textures/setdressing/utilitycarts/janitorcart01/janitorcart01_decals_color.dds	0.9900	exact-stem	JanitorCart01_Bag_TextureSet1
materials/setdressing/utilitycarts/janitorcart01/janitorcart01_base.mat	textures/setdressing/utilitycarts/janitorcart01/janitorcart01_base_color.dds	0.9900	exact-stem	JanitorCart01_Base_TextureSet1
materials/setdressing/utilitycarts/janitorcart01/janitorcart01_bolts.mat	textures/setdressing/utilitycarts/janitorcart01/janitorcart01_decals_color.dds	0.9900	exact-stem	JanitorCart01_Bolts_TextureSet1
materials/setdressing/utilitycarts/janitorcart01/janitorcart01_casters.mat	textures/common/plastic/plasticplaingray_color.dds	0.9900	exact-stem	JanitorCart01_Casters_TextureSet1
materials/setdressing/utilitycarts/janitorcart01/janitorcart01_wheels.mat	textures/common/metal/metalpainted01_color.dds	0.9900	exact-stem	JanitorCart01_Wheels_TextureSet1
materials/setdressing/wet_floor_sign/wet_floor_sign_decal01.mat	textures/setdressing/wet_floor_sign/wet_floor_decal_color.dds	0.9900	exact-stem	Wet_Floor_Sign_Decal01_TextureSet1
materials/ships/interior/nova/paneldecals1.mat	textures/ships/discovery/paneldecals1_color.dds	0.9900	exact-stem	PanelDecals1_TextureSet1
